Odddział,Gleba,STL,Data,Umiejscowienie próby,Wskaźnik zawartości chlorofilu,Wilgotność gleby zmierzna testerem podłoża ,Średnia wilgotność powietrza dla miesiąca w którym wykonano pomiary [%],Ogólna suma opadów dla miesiąca w którym wykonywano pomiary [mm],Nasłonecznienie w PPFD [µmol/m2/s]
709-h-02,RDb,LMśw,6/13/2023,1,"7,3",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"2,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"13,7",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"1,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"11,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,4,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,13,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,10,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,11,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"13,5",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,3",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"11,5",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,9,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,9,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,9",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,5",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"11,7",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"5,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"11,5",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,9,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,10,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,14,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,7",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,3",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,5",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,1",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"5,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"11,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"8,7",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"11,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,2",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"10,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,8,1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"7,6",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"9,4",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,8",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,1,"6,3",1,"59,5","38,62",1245
709-h-02,RDb,LMśw,6/13/2023,2,"13,9",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,5",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,6,1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"10,8",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,4",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,8",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,3",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"11,4",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,1",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,5",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,7",1,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"10,3",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"13,1",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,5",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,5",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,3",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,8,4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,2",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,8",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"12,2",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,7",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,6",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,8,4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,5",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,12,4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"5,1",4,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,10,5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"10,1",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"10,8",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,3",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"11,4",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,3",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,3",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,1",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,3",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,10,5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,9",5,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,4",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,9,3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,2",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"10,2",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,7",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,4",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,9",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,6",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"12,4",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,2",3,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,7",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,4",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,7",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"12,4",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,4",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,8",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,9,6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"11,5",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"12,7",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,1",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,8,6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,2",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,3",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"16,5",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"5,3",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,2",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,9",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,9",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"8,6",6,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,9",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,9",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,3",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"9,3",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,4",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"7,4",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"11,8",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,2,"6,9",8,"59,5","38,62",1152
709-h-02,RDb,LMśw,6/13/2023,3,"6,6",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"6,3",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"6,1",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"8,6",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"11,1",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"11,5",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,8,1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"10,4",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"8,7",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"9,1",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"7,7",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"10,9",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"7,6",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"9,1",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"8,2",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"7,1",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"6,8",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"7,8",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,10,1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,7,1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"9,8",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"8,4",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"9,8",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"10,6",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"8,2",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,7,1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"8,5",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"5,2",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,9,1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"10,3",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"10,5",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"9,5",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"6,6",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,"9,6",1,"59,5","38,62",1100
709-h-02,RDb,LMśw,6/13/2023,3,5,1,"59,5","38,62",1100
