Odddzial,Gleba,STL,Data,Umiejscowienie_proby,Wskaznik_zawartosci_chlorofilu,Wilgotnosc_gleby,srednia_wilgotnosc_powietrza_dla_miesiaca,Ogolna_suma_opadow_dla_miesiaca,Naslonecznienie
733-c,RDbr,Lsw,7/27/2023,1,"10,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"8,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"20,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"12,8",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,12,1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"13,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"10,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"7,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"5,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"8,8",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,8",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"10,2",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"16,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"7,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"8,7",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"13,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"8,7",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"12,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"8,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"21,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,7",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,11,1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,8,1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"6,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"11,8",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"21,7",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,9,1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,7,1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"12,6",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"17,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"9,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"8,6",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"19,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"10,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"16,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"9,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"16,2",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"14,4",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"18,2",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"10,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"9,9",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"16,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"9,7",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,9,1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"16,6",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"27,4",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"13,2",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"13,7",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"18,5",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"12,1",1,"64,5","33,52",870
733-c,RDbr,Lsw,7/27/2023,1,"9,6",1,"64,5","33,52",870
