Odddzial,Gleba,STL,Data,Umiejscowienie_proby,Wskaznik_zawartosci_chlorofilu,Wilgotnosc_gleby,srednia_wilgotnosc_powietrza_dla_miesiaca,Ogolna_suma_opadow_dla_miesiaca,Naslonecznienie
709-h-02,RDb,LMsw,7/27/2023,1,"13,3",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"18,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"17,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"5,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"10,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"17,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,16,1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"8,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,4",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"12,4",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"3,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"21,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"11,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"15,2",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"18,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"13,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"7,1",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"5,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"4,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"12,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"2,9",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,6,1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,12,1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,11,1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"12,5",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"13,3",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"9,7",1,"64,5","33,52",925
709-h-02,RDb,LMsw,7/27/2023,1,"12,3",1,"64,5","33,52",925
